2010,Black,Mendocino County,802,459,174.72766884531590400,0.0025237176752909945
2010,Hispanic,Contra Costa County,12800,178502,7.17078800237532400,0.04027878584005577
2010,Hispanic,Trinity County,238,676,35.20710059171597600,7.48933674213537E-4
2010,White,Monterey County,38762,119591,32.41213803714326300,0.1219754919322064
2010,Asian,Colusa County,531,232,228.87931034482758600,0.0016709402563335638
2010,White,Santa Clara County,37780,537192,7.03286720576628100,0.11888535383103961
2010,White,Mariposa County,6716,13171,50.99081315010249800,0.021133775445454264
2010,Hispanic,Glenn County,3407,7006,48.62974593205823600,0.010721079949771095
2010,White,Kings County,12094,44698,27.05713902188017400,0.038057159058565194
2010,Hispanic,Monterey County,33327,158716,20.99788301116459600,0.10487274185090147
2010,Other,Tehama County,3112,2088,149.04214559386973200,0.009792779807363561
2010,Asian,Los Angeles County,86448,1140335,7.58093016525845500,0.27203284986727666
2010,White,Glenn County,14579,12868,113.29654958035436700,0.04587690771579478
2010,Other,Colusa County,884,431,205.10440835266821300,0.002781753647078852
2010,Hispanic,Nevada County,2739,5929,46.19666048237476800,0.008619030813743184
2010,Asian,Mono County,680,174,390.80459770114942500,0.002139810497752963
2010,Black,San Benito County,2665,283,941.69611307420494700,0.008386169083105362
2010,Hispanic,Sonoma County,12956,82202,15.76117369407070400,0.04076968354248146
2010,Hispanic,Los Angeles County,397585,3389532,11.72979042534485600,1.2511125834545762
2010,Hispanic,Kern County,94312,275418,34.24322302826975700,0.2967791289177609
2010,Black,Calaveras County,262,284,92.25352112676056300,8.244563976636416E-4
2010,White,Sierra County,24722,2462,1004.14297319252640100,0.07779469871389523
2010,Hispanic,Humboldt County,1026,9215,11.13402061855670100,0.0032285964274919705
2010,White,Stanislaus County,26312,199290,13.20287018917155900,0.08279807914246465
2010,Hispanic,Solano County,18278,68287,26.76644163603614200,0.05751684746754214
2010,Asian,Placer County,1315,15952,8.24348044132397200,0.00413801588903698
2010,Other,Sonoma County,2716,11915,22.79479647503147300,0.008546654870436834
2010,Asian,Inyo County,1252,200,626.00000000000000000,0.003939768739980455
2010,Hispanic,Kings County,11816,53626,22.03408794241599200,0.03718235417860148
2010,Hispanic,San Bernardino County,110490,685629,16.11512931920907700,0.34768773808341896
2010,White,Placer County,23374,217493,10.74701254753026500,0.07355283908011434
2010,Other,Monterey County,4292,8679,49.45270192418481400,0.013505980376993701
2010,White,Los Angeles County,263623,2380251,11.07542859975691600,0.829563621836955
2010,Other,Kings County,851,2867,29.68259504708754800,0.002677909902334958
2010,Other,San Luis Obispo County,1988,5772,34.44213444213444200,0.006255798925783662
2010,Black,Los Angeles County,116998,660975,17.70082075721472100,0.3681669832589723
2010,Other,Kern County,13789,14712,93.72620989668298000,0.04339095140222883
2010,Other,Los Angeles County,78038,154341,50.56206711113702800,0.24556842885830252
2010,Hispanic,Lake County,1843,7430,24.80484522207267800,0.00579951580493928
2010,Asian,Calaveras County,345,460,75.00000000000000000,0.0010856391495952533
2010,Other,San Francisco County,8089,21257,38.05334713270922500,0.025454304582828997
2010,Other,Marin County,3932,4759,82.62239966379491500,0.012373139525242135
2010,Black,San Mateo County,3903,16142,24.17915995539586200,0.012281882901073255
2010,Asian,Lassen County,225,303,74.25742574257425700,7.080255323447304E-4
2010,Other,Tuolumne County,494,1637,30.17715332926084300,0.0015545093910146527
2010,Hispanic,Tuolumne County,1589,4612,34.45359930615784900,0.005000233648425674
2010,Asian,Madera County,1238,2064,59.98062015503876000,0.0038957138179678942
2010,Hispanic,Napa County,5349,30532,17.51932398794707200,0.016832126988942056
2010,Other,Mariposa County,578,812,71.18226600985221700,0.0018188389230900186
2010,White,Tulare County,23122,119006,19.42927247365679000,0.07275985048388825
2010,Asian,Tehama County,1299,509,255.20628683693516700,0.00408766740673691
2010,Other,Nevada County,1456,2303,63.22188449848024300,0.004581711889306344
2010,Asian,Merced County,3831,13814,27.73273490661647600,0.012055314730722943
2010,Black,Sacramento County,30698,106953,28.70232719044814100,0.09659985685297126
2010,Asian,San Diego County,20054,275030,7.29156819256081200,0.06310552900284988
2010,Black,Sonoma County,2306,5521,41.76779568918674200,0.007256475011497549
2010,White,San Diego County,177161,1288742,13.74681666307142900,0.5574867170476657
2010,Other,Imperial County,2004,1949,102.82195997947665500,0.0063061474080837315
2010,Hispanic,Modoc County,520,903,57.58582502768549300,0.0016363256747522659
2010,Hispanic,Colusa County,3097,7869,39.35697039013851800,0.009745578105207245
2010,Black,Plumas County,264,143,184.61538461538461500,8.307499579511502E-4
2010,White,Solano County,41966,144571,29.02795166388833200,0.13205777551279535
2010,White,Madera County,17440,49137,35.49260231597370600,0.05487984570707599
2010,Black,Shasta County,926,1043,88.78235858101629900,0.002913918413116535
2010,Asian,Amador County,709,358,198.04469273743016800,0.002231067121921839
2010,Hispanic,Sutter County,4292,18015,23.82459061892867100,0.013505980376993701
2010,Asian,Mendocino County,828,1205,68.71369294605809100,0.002605533959028608
2010,White,Orange County,111481,1130019,9.86540934267476900,0.3508061972058795
2010,Hispanic,Imperial County,50123,100865,49.69315421603132900,0.15772606114539964
2010,Asian,Lake County,136,619,21.97092084006462000,4.279620995505926E-4
2010,White,Sonoma County,51256,276436,18.54172394333589000,0.16129136304827335
2010,Black,Alpine County,215,0,,6.765577309071868E-4
2010,Other,San Diego County,22338,77452,28.84108867427568000,0.07029277485118483
2010,Black,Solano County,12797,47259,27.07844008548636200,0.040269345499624506
2010,Asian,Contra Costa County,4832,122478,3.94519832133117800,0.015205241654621055
2010,White,Tehama County,23966,37627,63.69362425917559200,0.07541573292521693
